# ---------------------------------------------------------------------
# ■テーブル名
# 　　asset.tbl
# 
# ■説明
# 　・Cities:Skylines、Steamワークショップ上での名称とテーブルで使用する名称の紐づけを行う。
# 　・「udx\bldg」配下に配置されている建物のＧＭＬファイルをインポートする際に参照されるテーブル
# 　・以下の建物判定用テーブルで指定するアセットファイルを定義する
# 　　（detailedUsage.tbl　orgUsage2.tbl　orgUsage.tbl　usage.tbl　buildingID.tbl）
# 
# ■設定値
# 　1.key（string型）
# 　　・建物判定用テーブルで指定するKey値
# 　　・","(半角カンマ)、"#"(半角シャープ)、"/"(半角スラッシュ)は指定不可。
# 　　
# 　2.「アセット名」（string型）
# 　　・Cities:Skylines、Steamワークショップ上でのアセット名を指定する。（基本的には「アセットのID」+"."+「建物名称」+"_Data"の形式）
# 
# ■その他
# 　・先頭#の行はコメントとして扱われます。
# 　・各項目は半角カンマ区切りで指定します。
# 　・項目数が２以上の行が有効。項目３以降はスルーされます。
# ---------------------------------------------------------------------
# key, アセット名
#鉾田市用
鉾田市役所,2863115285.PlateauUC_鉾田市役所_Data
B106,ChirpX Empty Area 05
B107,ChirpX Empty Area 06
B108,ChirpX Empty Area 07
B109,ChirpX Empty Area 08
B110,ChirpX Empty Area 09
B111,ChirpX Vehicle Assembly Building
B112,ChirpX Vehicles Parking
B113,H1 1x1 Tenement
B114,H5 3x3 Tenement03
B115,H5 2x3 Tenement06
B116,H5 3x3 Tenement05
B117,H5 3x2 Highrise06
B118,H4 4x3 Tenement07
B119,H2 3x3 Tenement01
B120,H1 4x3 Tenement07
B121,H3 4x3 Tenement08
B122,H4 4x4 Tenement07b
B123,H1 3x3 Tenement08
B124,H1 3x2 Tenement01
B125,H1 3x4 Tenement07
B126,H3 2x2 Tenement04
B127,H2 1x1 Tenement01
B128,H2 3x4 Tenement06
B129,H4 2x2 Tenement09
B130,H4 1x1 Tenement06
B131,H5 2x2 tenement03
B132,H3 1x1 Tenement05
B133,H1 4x4 Tenement03
B134,H5 3x2 Tenement06
B135,H1 2x2 Tenement05
B136,H1 2x3 Tenement02
B137,H1 3x2 Tenement04
B138,H1 3x3 Tenement03
B139,H5 3x4 Highrise05
B140,H5 3x4 Tenement09
B141,H5 3x2 Tenement02
B142,H5 4x3 Highrise03
B143,H5 4x3 Highrise04
B144,H5 4x3 Tenement04
B145,H5 4x4 Highrise07
B146,H5 4x4 Highrise08
B147,H1 3x4 Tenement03a
B148,H1 4x3 Tenement02
B149,H1 4x3 Tenement05
B150,H1 4x4 Tenement04a
B151,H4 4x3 tenement08a
B152,H2 2x2 tenement06
B153,H2 2x3 Tenement01 
B154,H2 3x2 Tenement05
B155,H2 3x3 Tenement06
B156,H2 3x4 Tenement01 1a
B157,H2 4x3 Tenement06
B158,H2 4x3 Tenement06a
B159,H2 4x4 Tenement02a
B160,H2 4x4 Tenement05b
B161,H2 4x4 Tenement07a
B162,H3 2x3 tenement02
B163,H3 3x3 Tenement04
B164,H3 3x4 tenement03a
B165,H3 3x4 Tenement08
B166,H3 4x3 Tenement04a
B167,H3 4x4 Tenement05a
B168,H3 4x4 Tenement08b
B169,H4 2x3 tenement04
B170,H4 3x2 tenement07
B171,H4 3x3 Tenement08
B172,H4 3x4 tenement05a
B173,H4 3x4 Tenement07b
B174,H4 4x4 Tenement09a
B175,H5 1x1 highrise_hiden_hightech01
B176,H5 4x3 Highrise01
B177,H5 4x3 Highrise07a
B178,H5 4x4 Highrise02
B179,H5 4x4 Tenement01
B180,H3 3x2 Tenement04a
B181,Ore 4x3 Processing
B182,Ore 4x3 Processing02
B183,Ore 3x2 Processing
B184,Ore 3x3 Processing
B185,Ore 4x4 Extractor
B186,Ore 2x2 Extractor
B187,Ore1x1
B188,Ore 1x1 processing
B189,Ore 2x2 Processing
B190,OreCrusher
B191,H2 3x3 Office06
B192,H2 3x3 Office08
B193,H1 2x3 Office01
B194,H1 2x3 Office07
B195,H1 3x3 Office04
B196,H1 4x3 Office06
B197,H2 1x1 Office01
B198,H2 2x2 Office04
B199,H2 2x2 Office07
B200,H2 4x4 Office06
B201,H2 4x3 Office09
B202,H2 4x3 Office06
B203,H3 3x2 Office01
B204,H3 3x4 Office08
B205,H3 4x4 Office12
B206,H3 4x4 Office07
B207,H3 4x4 Office05
B208,H3 4x4 Office02
B209,H3 4x4 Office01
B210,H3 4x3 Office06
B211,H3 4x3 Office04
B212,H3 4x3 Office03
B213,H3 3x3 Office10
B214,H1 3x4 Office01
B215,H1 4x4 Office06
B216,H2 2x2 Office08
B217,H2 2x3 Office04
B218,H2 2x3 Office07
B219,H2 3x2 Office08
B220,H1 4x4 Office05a
B221,H1 3x4 Office08a
B222,H2 3x4 Office05a
B223,H2 4x3 Office09a
B224,H1 3x2 Office06
B225,H1 1x1 Office
B226,H1 2x2 Office02
B227,H1 2x2 Office03
B228,H1 2x2 Office05
B229,H1 3x4 Office02a
B230,H1 3x4 Office06
B231,H3 1x1 Office01
B232,H3 2x2 Office11
B233,H3 2x3 Office10
B234,H3 3x4 Office11a
B235,H3 4x3 Office02a
B236,Landfill Site
B237,Combustion Plant
B238,MediumBridgePillar
B239,Road Connection
B240,HighwayBridgePillar
B241,HighwayRampPillar
B242,HighwayBridgeSuspensionPillar
B243,LargeRoadBridgeSuspensionPillar
B244,RoadSmallBridgePillar
B245,Empty Intersection
B246,Cloverleaf Intersection
B247,Threeway Intersection
B248,RoundaboutL
B249,RoundaboutS
B250,Road Connection Small
B251,GravelBridgePillar
B252,Oneway Toll Booth Large 01
B253,Oneway Toll Booth Large 01 Sub
B254,Oneway Toll Booth Medium 01
B255,Twoway Toll Booth Large 01
B256,Twoway Toll Booth Large 01 Sub
B257,Twoway Toll Booth Medium 01
B258,Twoway Toll Booth Medium 01 Sub
B259,Police Headquarters
B260,Police Station
B261,Empty Park 12x8
B262,Eden Project
B263,Wildlife Spawn Point
B264,Expensive Park
B265,Expensive Playground
B266,Expensive Plaza
B267,Regular Park
B268,Regular Playground
B269,Regular Plaza
B270,Pedestrian Elevated Pillar
B271,Fishing Island
B272,Fishing Island Sub
B273,Floating Cafe
B274,Floating Cafe Sub
B275,Tropical Garden
B276,Wooden Footbridge Pillar 6
B277,Wooden Footbridge Pillar 12
B278,Wooden Footbridge Pillar 18
B279,Wooden Footbridge Pillar 24
B280,Fire Station
B281,Fire House
B282,ExpoCenter
B283,Oppression Office
B284,Opera House
B285,Grand Mall
B286,SeaAndSky Scraper
B287,High Interest Tower
B288,Trash Mall
B289,Theater of Wonders
B290,Statue of Shopping
B291,Posh Mall
B292,SeaWorld
B293,Modern Art Museum
B294,Plaza of the Dead
B295,Observatory
B296,ScienceCenter
B297,Cathedral of Plentitude
B298,Business Park
B299,Servicing Services
B300,Transport Tower
B301,City Hall
B302,Court House
B303,Colossal Offices
B304,Fountain of LifeDeath
B305,Friendly Neighborhood
B306,Lazaret Plaza
B307,Library
B308,Official Park
B309,Stadium
B310,Statue of Industry
B311,StatueOfWealth
B312,Winter Market 01
B313,Winter Market 01 Tree Sub
B314,Academic Library 01
B315,Academic Library 01 A
B316,Oil 3x3 Processing
B317,H1 1x1 Facility01
B318,H1 1x1 Facility02
B319,Oil 4x4 Processing
B320,Oil 4x4 Processing02
B321,Oil 3x2 Processing
B322,Oil 3x3 Extractor
B323,Oil2x2
B324,Oil 1x1 processing
B325,Oil 2x2 Processing
B326,Elementary School
B327,Hadron Collider
B328,High School
B329,University
B330,Library 01
B331,Electricity Pole
B332,Nuclear Power Plant
B333,Wind Turbine
B334,Solar Power Plant
B335,Dam Power House
B336,Dam Node Building
B337,Advanced Wind Turbine
B338,Coal Power Plant
B339,Oil Power Plant
B340,Fusion Power Plant
B341,Bus Depot
B342,Train Station
B343,Train Connection
B344,Airport
B345,Airplane Connection
B346,Ship Connection
B347,Harbor
B348,Cargo Center
B349,Cargo Harbor
B350,RailwayBridgePillar
B351,RailwayElevatedPillar
B352,Space Elevator
B353,Metro Entrance
B354,Airport Apron
B355,Integrated Metro Station
B356,RailOnewayBridgePillar
B357,RailOnewayElevatedPillar
B358,Overground Metro Bridge Pillar 01
B359,Overground Metro Elevated Pillar 01
B360,Overground Metro Station 01
B361,Overground Metro Station Elevated 01
B362,ChirpyBirthday Balloon Tours
B363,Forestry 4x3 Processing
B364,Forestry 3x3 Extractor
B365,Forestry 3x3 Forest
B366,Forestry 4x4 Forest
B367,Forestry 3x3 Processing
B368,Forestry 3x3 Processing 2
B369,Forestry2x2 forest
B370,Forestry1x1 forest
B371,Forestry 2x2
B372,Forestry 1x1
B373,Forestry 4x4 Forest 1
B374,L3 1x1 Shop
B375,L3 2x2 Shop03
B376,L1 4x3 Shop06a
B377,L3 4x3 Shop13a
B378,L1 3x2 Shop05
B379,L1 1x1 Shop
B380,L1 1x2 Shop04
B381,L1 2x2 Shop02
B382,L1 2x2 Shop03
B383,L1 2x2 Shop04
B384,L1 3x2 Shop01
B385,L1 3x2 Shop03b
B386,L1 3x3 Shop07
B387,L1 3x4 Shop05
B388,L1 4x3 Shop03b 1a
B389,L1 4x3 Shop06
B390,L3 3x3 Shop05
B391,L3 4x4 Shop07a
B392,L1 4x4 Shop08a
B393,L2 1x1 Shop08
B394,L2 1x2 Shop07
B395,L2 2x2 Shop2
B396,L2 3x2 Shop09
B397,L2 3x3 Shop03
B398,L2 3x4 Shop04
B399,L2 4x3 Shop05
B400,L2 4x3 Shop06
B401,L2 4x3 Shop10a
B402,L2 4x4 Shop04
B403,L3 1x2 Shop07
B404,L3 2x2 Shop11
B405,L3 3x2 Shop11
B406,L3 3x2 Shop12
B407,L3 3x3 Shop06
B408,L3 3x4 Shop03
B409,L3 4x3 Shop10
B410,L1 4x3 Shop02a
B411,L3 1x1 Shop07
B412,H2 4x3 Sweatshop01
B413,H1 4x4 Sweatshop02
B414,H1 4x4 Mediumfactory02
B415,H1 4x4 Mediumfactory03
B416,H3 4x4 Mediumfactory06
B417,H1 2x2 Sweatshop03
B418,H1 4x4 Bigfactory01
B419,H3 4x3 Bigfactory06
B420,H2 4x4 Bigfactory02
B421,H1 4x3 Bigfactory05
B422,H2 4x4 Bigfactory07
B423,H1 2x2 Sweatshop06
B424,H1 3x3 Sweatshop07
B425,H2 3x3 Sweatshop04
B426,H1 2x2 Sweatshop05
B427,H2 1x1 Facility03
B428,H2 1x1 Facility04
B429,H3 1x1 Facility05
B430,H3 1x1 Facility06
B431,H2 4x4 Sweatshop04
B432,H2 2x2 sweatshop01
B433,cargoyard
B434,H1 3x3 Sweatshop04
B435,H3 2x2 Bigfactory06
B436,H3 4x4 Bigfactory 04
B437,H3 3x3 Mediumfactory08
B438,H3 4x3 Shop03
B439,H1 1x1 Shop07
B440,H1 3x4 Shop04
B441,H1 4x3 Shop01
B442,H1 4x3 Shop04a
B443,H2 1x1 Shop
B444,H2 2x2 Shop01
B445,H2 2x3 Shop03
B446,H2 3x2 Shop01
B447,H2 3x3 Shop02
B448,H2 3x3 Shop05
B449,H2 3x4 Shop04a
B450,H2 3x4 Shop05
B451,H2 4x3 Shop02a
B452,H2 4x3 Shop06
B453,H2 4x4 Shop06
B454,H3 1x1 Shop10
B455,H3 1x1 Shop13
B456,H3 2x2 Shop01
B457,H3 2x3 Shop04
B458,H3 3x2 Shop04
B459,H3 3x3 Shop06
B460,H3 3x4 Hotel
B461,H3 4x3 Shop05a
B462,H3 4x4 Shop04
B463,H3 4x4 Shop07a
B464,H3 4x4 Shop11
B465,H1 4x3 Shop02
B466,H1  1x1 Shop01
B467,H1 2x2 Shop01
B468,H1 2x3 Shop01
B469,H1 3x2 Shop03
B470,H1 3x3 Shop01
B471,H1 3x3 Shop04
B472,H1 3x4 Shop02a
B473,H1 4x4 Shop03
B474,L5 4x3 Villa11
B475,L4 4x4 Villa12
B476,L3 4x3 Detached09
B477,L3 2x2 Detached12
B478,H1 4x3 Office011
B479,H1 4x3 Tenement08
B480,H2 3x4 Office012
B481,H1 4x3 Shop09
B482,H3 4x3 Tenement09
B483,L1 2x3 Shop11
B484,H4 4x4 Tenement12
B485,L2 4x3 Detached07
B486,L1 4x2 Shop12
B487,L2 1x2 Detached12
B488,L1 4x4 Detached11
B489,L1 4x3 Detached12
B490,H1 1x2 Office13
B491,L3 4x4 Detached08
B492,L3 1x1 Detached14
B493,H5_3x4_Highrise10
B494,H2 4x4 Office11
B495,L3 2x2 Shop19
B496,L2 4x3 Shop13
B497,H1 3x2 Office15
B498,H1 4x3 Office12
B499,L2 3x4 Detached06
B500,L2 4x4 Detached08
B501,L3 2x3 Detached11
B502,L3_3x4_Detached_10
B503,H2 4x4 Office10c
B504,H3 2x2 Office16
B505,H5_4x3_Highrise_09
B506,H1 3x4 Shop10
B507,L2 3x4 Shop14
B508,L2 4x3 Shop12
B509,H2 3x2 Office13
B510,L1 2x2 Detached10
B511,L1 3x4 Detached08
B512,L2 3x3 Detached10
B513,Forestry 4x3 Extractor03
B514,Forestry 4x3 Processing03
B515,H2 4x4 Shop11_c
B516,H3 3x3 Office15
B517,L5_4x3_Villa13
B518,H3 4x4 Office17_c
B519,H3 4x3 Shop13
B520,L3 3x4 Shop16
B521,H4 3x4 Tenement11
B522,Ore 4x3 Processing03
B523,Oil 3x2 Extractor02
B524,H2 4x3 BigFactory08
B525,H2 4x3 Shop07
B526,H3 3x4 Office14
B527,H3 4x3 Shop12
B528,L1_3x2_Shop_10
B529,L1 3x3 Shop15
B530,L1_4x2_Shop_09
B531,L1 2x3 Detached09
B532,L1_1x1_detached_13
B533,L1 3x3 Detached14
B534,L2_2x2_Detached_09
B535,L4 2x3 Villa08
B536,L4 4x3 Villa11
B537,H1 4x3 BigFactory06
B538,H3 4x4 Mediumfactory07
B539,H2 4x4 BigFactory03
B540,L5 3x4 Villa10
B541,L3 3x3 Detached13
B542,H2 4x3 Shop08
B543,L1 3x3 Shop16
B544,L2 2x3 Shop15
B545,L2 4x3 Shop 11
B546,L3 4x3 Shop14
B547,L3 4x3 Shop15
B548,H3 3x4 Shop14_c
B549,H2 4x4 Shop15_c
B550,H2 4x3 Tenement08
B551,H1 4x3 Shop08
B552,H1_4x4_shop11_c
B553,L1 4x3 Shop13
B554,L2 3x3 Shop16
B555,L3 3x2 Shop18
B556,H2 4x4 Tenement09
B557,H3 3x4 Tenement10
B558,L2 4x3 Detached11
B559,H4 4x3 Tenement10
B560,Oil 4x2 Processing03
B561,H1 3x4 Office14
B562,H1 3x4 Shop12_c
B563,H1 3x4 Shop09_c
B564,H3 3x4 Shop16_c
B565,H3 4x4 Shop17_c
B566,H1 4x3 Office09
B567,H1 4x4 Office10_c
B568,H3 3x4 Office13
B569,Agricultural 4x3 Processing07
B570,Agricultural 4x4 Processing06
B571,H3 4x4 Mediumfactory08
B572,H3 3x3 Shop17
B573,H3 4x4 BigFactory05
B574,H3 4x3 BigFactory07
B575,H1 4x4 Shop12_c 1
B576,H2 3x4 Shop09_c
B577,H2 3x4 Shop14_c
B578,H3 4x4 Shop15_c 1
B579,Abandoned Building 01
B580,Abandoned Factory 01
B581,Boulder 01
B582,Boulder 02
B583,Boulder 03
B584,Boulder 04
B585,Bunker Ruins 01
B586,Rock Area 01
B587,Rock Formation 01
B588,Rock Formation 02
B589,Rock Formation 03
B590,Rock Formation 04
B591,Abandoned Lighthouse 01
B592,Ancient Cemetery 01
B593,Pier Ruins 01
B594,Rock Area 02
B595,Rock Area 03
B596,Rock Area 04
B597,Castle Ruins 01
B598,Ship Wreck 01
B599,Castle Ruins 03
B600,Bunker Ruins 02
B601,Castle Ruins 02
B602,Cave 01
B603,Cave 02
B604,Cave 03
B605,Cliff 01
B606,Cliff 02
B607,Cliff 03
B608,Cliff 04
B609,Cliff 05
B610,Cliff 06
B611,Cliff 07
B612,Cliff 08
B613,Cliff 09
B614,Cliff 10
B615,Cliff 11
B616,Cliff 12
B617,Rock Formation 01 B
B618,Rock Formation 01 C
B619,Rock Formation 02 B
B620,Rock Formation 02 C
B621,Rock Formation 03 B
B622,Rock Formation 03 C
B623,Rock Formation 04 B
B624,Rock Formation 04 C
B625,Medical Clinic
B626,Hospital
B627,Medical Center
B628,Crematory
B629,Cemetery
B630,Eldercare 01
B631,Child Health Center 01
B632,ParadoxPlaza
B633,MerryGoRound
B634,bouncer_castle
B635,Basketball Court
B636,Botanical garden
B637,dog-park-fence
B638,JapaneseGarden
B639,Large Trainstation
B640,Multiplatform Train Station Platforms
B641,Blimp Depot
B642,Blimp Stop
B643,Ferry Bus Hub
B644,Ferry Harbor
B645,Ferry Pier
B646,Ferry Depot
B647,End of the line Trainstation
B648,Multiplatform End Station Platform 1
B649,Multiplatform End Station Platform 2
B650,Boat Museum
B651,Two Lane Highway Bridge Pillar
B652,Two Lane Highway Suspension Pillar
B653,Four Lane Highway Bridge Pillar
B654,Four Lane Highway Suspension Pillar
B655,Cable Car Station End
B656,Cable Car Stop
B657,Traffic Park
B658,Steam Train
B659,Cable Car Pylon 12
B660,Cable Car Pylon 24
B661,Cable Car Pylon 36
B662,Monorail Pylon
B663,Monorail Station Standalone
B664,Monorail Station Avenue
B665,Monorail Bus Hub
B666,Monorail Train Metro Hub
B667,Cable Car Pylon 48
B668,Cable Car Pylon 60
B669,Monorail Pylon 2
B670,Monorail Pylon 3
B671,Boat Museum Steam Boat
#
############################################
# 以降、ヨーロッパ風の標準アセット
############################################
B672,1x1_Factory_EU01
B673,2X2_Factory_EU04
B674,3x3_Factory_EU05
B675,3x3_Factory_EU06
B676,3x3_Factory_EU09
B677,3x3_Factory_EU07
B678,4x3_Factory_EU08
B679,4x3_Factory_EU10
B680,4x4_Factory_EU02
B681,4x4_Factory_EU03
B682,medicalclinicEU
B683,hospital_EU
B684,Fire_Station_EU
B685,firehouse_EU
B686,Elementary_School_EU
B687,highschool_EU
B688,University_EU
B689,Tennis_Court_EU
B690,amsterdam_palace
B691,arena
B692,cathedral_of_cologne
B693,cinema
B694,city_hall
B695,department_store
B696,gherkin
B697,government_offices
B698,hypermarket
B699,london_eye_anim
B700,shopping_center
B701,theatre
B702,Police Headquarters EU
B703,police_station_EU
B704,H1_1x1_Officeblock
B705,H1_2x2_Officeblock
B706,H1_2x2_Officeblock_Corner
B707,H1_2x3_Officeblock_Corner
B708,H1_2x4_Officeblock
B709,H1_3x2_Officeblock_Corner
B710,H1_3x3_Officeblock
B711,H1_3x3_Officeblock_Corner
B712,H1_3x4_Officeblock
B713,H1_4x3_officeblock
B714,H1_officebuilding02EU_4x4
B715,H1_officebuilding02EU_4x4b
B716,H1_officebuilding04EU_4x4
B717,H2_1x1_Officeblock
B718,H2_2x2_Officeblock
B719,H2_2x2_Officeblock_Corner
B720,H2_2x3_Officeblock_Corner
B721,H2_2x4_Officeblock
B722,H2_3x2_Officeblock_Corner
B723,H2_3x3_Officeblock
B724,H2_3x3_Officeblock_Corner
B725,H2_3x4_Officeblock
B726,H2_4x3_officeblock
B727,H2_officebuilding02EU_4x4
B728,H2_officebuilding02EU_4x4b
B729,H2_officebuilding04EU_4x4
B730,H3_1x1_Officeblock
B731,H3_2x2_Officeblock
B732,H3_2x2_Officeblock_Corner
B733,H3_2x3_Officeblock_Corner
B734,H3_2x4_Officeblock
B735,H3_3x2_Officeblock_Corner
B736,H3_3x3_Officeblock
B737,H3_3x3_Officeblock_Corner
B738,H3_3x4_Officeblock
B739,H3_4x3_officeblock
B740,H3_officebuilding02EU_4x4
B741,H3_officebuilding02EU_4x4b
B742,H3_officebuilding04EU_4x4
B743,H1_1x1_CommercialBlockhouse
B744,H1_2x2_CommercialBlockhouse
B745,H1_2x2_CommercialBlockhouse_Corner
B746,H1_2x3_CommercialBlockhouse
B747,H1_2x3_CommercialBlockhouse_Corner
B748,H3_1x1_CommercialBlockhouse
B749,H1_3x2_CommercialBlockhouse
B750,H1_3x2_CommercialBlockhouse01
B751,H1_3x2_CommercialBlockhouse_Corner
B752,H1_3x3_CommercialBlockhouse
B753,H1_3x3_CommercialBlockhouse_Corner
B754,H1_3x4_CommercialBlockhouse
B755,H1_4x3_CommercialBlockhouse
B756,H1_4x4_CommercialBlockhouse
B757,H2_1x1_CommercialBlockhouse
B758,H2_2x2_CommercialBlockhouse
B759,H2_2x2_CommercialBlockhouse_Corner
B760,H2_2x3_CommercialBlockhouse
B761,H2_2x3_CommercialBlockhouse_Corner
B762,H2_2x4_CommercialBlockhouse
B763,H2_3x2_CommercialBlockhouse
B764,H2_3x2_CommercialBlockhouse01
B765,H2_3x2_CommercialBlockhouse_Corner
B766,H2_3x3_CommercialBlockhouse
B767,H2_3x3_CommercialBlockhouse_Corner
B768,H2_3x4_CommercialBlockhouse
B769,H2_4x3_CommercialBlockhouse
B770,H2_4x4_CommercialBlockhouse
B771,H3_2x2_CommercialBlockhouse
B772,H3_2x2_CommercialBlockhouse_Corner
B773,H3_2x3_CommercialBlockhouse
B774,H3_2x3_CommercialBlockhouse_Corner
B775,H3_2x4_CommercialBlockhouse
B776,H3_3x2_CommercialBlockhouse
B777,H3_3x2_CommercialBlockhouse01
